"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-io","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","3","3","7","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","No"
"1","—","—","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","4","4","9","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","hlubší","hluboký","10","O","","","","Inan","","Nom","Cmp","","Masc","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","objekty","objekt","11","O","","","","Inan","","Nom","","","Masc","","","","","","Plur","","","","","","","","","","","","","","","","","","","No"
"1",",",",","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","skrývka","skrývka","13","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","však","však","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","šla","jít","15","O","","","","","Imp","","","","Fem,Neut","","","","","","Plur,Sing","","Pos","","","","Past","","Part","Act","","","","","","","","","",""
"1","velmi","velmi","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hluboko","hluboko","17","O","","","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","No"
"1",",",",","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","takže","takže","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","mad","mad","20","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","±","±","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","mělčí","mělký","22","O","","","","Inan","","Nom","Cmp","","Masc","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","objekty","objekt","23","O","","","","Inan","","Nom","","","Masc","","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","byly","být","24","O","","","","Inan","Imp","","","","Fem,Masc","","","","","","Plur","","Pos","","","","Past","","Part","Act","","","","","","","","","",""
"1","zcela","zcela","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zničeny","zničený","26","O","","","","Inan","Perf","","Pos","","Fem,Masc","","","","","","Plur","","Pos","","","","","Short","Part","Pass","","","","","","","","","",""
"1","Podle","podle","1","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","teréního","teréní","2","O","","","","","","Gen","Pos","","Neut","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","pozorování","pozorování","3","O","","","","","","Gen","","","Neut","","","","","","Sing","","","","","","","","Vnoun","","","","","","","","","","",""
"1","je","být","4","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Pos","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","ještě","ještě","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","část","část","6","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","sídliště","sídliště","7","O","","","","","","Gen","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","zachována","zachovaný","8","O","","","","","Imp","","Pos","","Fem,Neut","","","","","","Plur,Sing","","Pos","","","","","Short","Part","Pass","","","","","","","","","",""
"1","na","na","9","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","parc","paec","10","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","č","číslo","12","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1503","1503","14","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
